,host,url,xpath
0,https://www.ozon.ru/,https://www.ozon.ru/product/smesitel-dlya-vanny-s-korotkim-litym-izlivom-odnoruchnyy-k30-slaven-209956018/,"//*[@id=""layoutPage""]/div[1]/div[6]/div[3]/div[2]/div[2]/div[1]/div/div/div[1]/div/div/div[2]/div[2]/span[1]/span,//*[@id=""layoutPage""]/div[1]/div[7]/div[3]/div[2]/div[2]/div[1]/div/div/div[1]/div/div/div[2]/div[2]/span[1]/span"
1,https://bravax.ru/,https://bravax.ru/dushevaya-stojka-frap-f2416.html,"//*[@id=""priceItem""]"
2,http://frap-russia.ru/,http://frap-russia.ru/dushevaya-stojka-frap--f2416.html,"//*[@id=""priceItem""]"
3,https://unimagonline.com/,https://unimagonline.com/f2416-dushevaya-stoyka-s-verhnim-dushem/,"//*[@id=""sec_discounted_price_344""]"
4,https://omsk-san.ru/,https://omsk-san.ru/unitaz-kompakt-keramin-kids-s-risunkom-bozhya-korovka,"//*[@id=""product-price""]"
5,https://stot.ru/,https://stot.ru/unitaz-kompakt-detskiy-kids-s-risunkom-bozhya-korovka.html,"//*[@id=""product""]/div/div[1]/div[2]/div/span[2]"
6,https://k-remont.ru/,https://k-remont.ru/catalog/detail/unitaz-santek-ostin-1-wh30-2-419/,"//*[@id=""240292""]/div/div[2]/div[3]/div[1]/span[2]"
7,https://vstroyka-solo.ru/,https://vstroyka-solo.ru/moskva/goods/unitaz-kompakt-santek-ostin-wh302419-beliy-733994,"//*[@id=""priceCard""]/div/div[1]/div/div/span[1]"
8,https://www.u-nion.ru/,https://www.u-nion.ru/catalog/medicinskaya-santehnika/viduary-medicinskie/viduar-sb-2-polnyy-komplekt-keram,"//*[@id=""no-sb""]/main/div/div/div[2]/div[5]/div/div/span"
9,https://jkr-shop.ru/,https://jkr-shop.ru/shop/product/viduar-sb-2-plastik-polnyy-komplekt,/html/body/div[2]/div[2]/main/div/div[4]/form/div[2]/div[4]/div[1]/div[2]/strong
10,http://pksfera.ru/,http://pksfera.ru/viduar-medicinskij-sb-2-ker-bachok-plast-bachok-specialnaya,"//*[@id=""content""]/div/div[2]/ul[2]/li/h2/span"
11,https://masclim.ru/,https://masclim.ru/raskhodnye-materialy/sifon-dlya-kondicionera-hl-138/?ymclid=16086739483575204088800001,"//*[@id=""content""]/div[2]/div[2]/div[1]/div[1]/div"
12,https://www.hl-spb.ru/,https://www.hl-spb.ru/katalog/sifonyi/dlya-kondiczionerov/hl138,"//*[@id=""mainFormProduct""]/div/div[1]/div/div[1]/div/div/span[1]"
13,https://horeca.uno/,https://horeca.uno/catalog/retsirkulyatory/-2-60-3-2-16-/?gclid=CjwKCAiA8ov_BRAoEiwAOZogwdA21kGg57msnWI8oV5g6FR-fR-3GX5LCqv_XP4_q_Ht1MI3SUJdmBoCbhgQAvD_BwE,"//*[@id=""bx_2997131855_39399_price""]"
14,https://restoll.com/,https://restoll.com/p450948093-retsirkulyator-obluchatel-bakteritsidnyj.html?gclid=CjwKCAiA8ov_BRAoEiwAOZogwQNSRCoEGKvmjBkkwZY3PssRH77VTqojom7uLndflWK4JedYij7TSRoC6QUQAvD_BwE,/html/body/div[5]/div[2]/div/div/div[2]/div[1]/div/div/div[2]/div[1]/div/p/span[1]
15,https://zavod-recirkulyatorov.ru/,https://zavod-recirkulyatorov.ru/index.php?route=product/product&product_id=239/?utm_source=google&utm_medium=cpc&utm_campaign=11896806370&utm_content=487625273162&utm_term=&gclid=CjwKCAiA8ov_BRAoEiwAOZogwXmeQhXe3uoPejiLKPv24bTcYvgT4AfP8LBhZteBL7LEvlXTm31IhhoCWUwQAvD_BwE,"//*[@id=""product""]/div[2]/p"
16,http://www.deal-med.ru/,http://www.deal-med.ru/apparat_dyhatelnyj_ruchnoj_vzroslyj_bez_aspiratora_adr_mp_v.html,"//*[@id=""content""]/div/div[1]/div/span/span[1]"
17,https://www.medexinter.ru/,https://www.medexinter.ru/produkciya-medplant/izdeliya-dlya-reanimacii/izdeliya-dlya-ruchnoy-ivl/apparaty-dyhatelnye-ruchnye/apparat-dyhatelnyy-ruchnoy-adr-mp-v-vzroslyy/,"//*[@id=""sec_discounted_price_574""]"
18,http://www.medrk.ru/,http://www.medrk.ru/shop/diagnosticheskoe-oborudovanie/oftal-mologicheskie-pribory-i-oborudovanie/id-254,/html/body/main/div/div/div[3]/div[2]/div[2]/div/p[1]/span
19,https://www.nv-lab.ru/,https://www.nv-lab.ru/catalog_info.php?ID=3884&Full=1,"//*[@id=""oprice""]"
20,https://parentkom.ru/,https://parentkom.ru/mk-14-lampa-nastolnaya-dlya-oftalmologicheskogo-i-otolaringologicheskogo-obsledovaniya-masterlight-v-komplekte-s-krepleniyem,/html/body/div[3]/div[4]/div/div[4]/div/main/div/div/form/div[2]/div[1]/div[1]/div/strong
21,https://ndmtrade.ru/,https://ndmtrade.ru/cvetil-niki-xirurgicheckie/cvetil-nik-masterlight-r-klaccik-cvetodiodnii-peredvizhnoi-c-gibkoi-verxnei-chact-yu-c-led-lampoi-12v-7w-861701156.html,"//*[@id=""product""]/div[1]/span"
22,https://dealmed-4.blizko.ru/,https://dealmed-4.blizko.ru/products/186355482-nabor_privivochnogo_instrumentariya,"//*[@id=""content""]/div[1]/div[2]/div/div/div[2]/div[3]/div[2]/p/i"
23,https://stomshop.pro/,https://stomshop.pro/komplekt-neotlozhnoy-pomoschi-4,"//*[@id=""product""]/div[1]/span/span"
24,https://www.sunmed.ru/,https://www.sunmed.ru/product/ukladka-v-sumke-sr-3-vracha-skoroy-pomoshchi-po-pr-100-s-laringoskopom-m-841/,"//*[@id=""bx_117848907_6898""]/div/div[2]/div[2]/div/div[1]/div[1]/strong/p/span[1]"
25,http://www.vesmaster.ru/,http://www.vesmaster.ru/catalogue/824/837/,"//*[@id=""price_3402""]"
